code,term,id,type,bnf_code
8093711000001103,Glimepiride 2mg tablets (Alliance Healthcare (Distribution) Ltd),8093711000001103,amp,0601021A0AAAAAA
10155111000001101,Glimepiride 2mg tablets (Actavis UK Ltd),10155111000001101,amp,0601021A0AAAAAA
10274011000001101,Glimepiride 2mg tablets (A A H Pharmaceuticals Ltd),10274011000001101,amp,0601021A0AAAAAA
10445311000001101,Glimepiride 2mg tablets (Niche Generics Ltd),10445311000001101,amp,0601021A0AAAAAA
10517911000001105,Glimepiride 2mg tablets (Zentiva),10517911000001105,amp,0601021A0AAAAAA
10617511000001108,Glimepiride 2mg tablets (Somex Pharma),10617511000001108,amp,0601021A0AAAAAA
10689011000001106,Glimepiride 2mg tablets (PLIVA Pharma Ltd),10689011000001106,amp,0601021A0AAAAAA
11018911000001102,Glimepiride 2mg tablets (Dr Reddy's Laboratories (UK) Ltd),11018911000001102,amp,0601021A0AAAAAA
11149411000001103,Glimepiride 2mg tablets (Teva UK Ltd),11149411000001103,amp,0601021A0AAAAAA
11343211000001108,Glimepiride 2mg tablets (Sandoz Ltd),11343211000001108,amp,0601021A0AAAAAA
12147311000001101,Glimepiride 2mg tablets (Kent Pharmaceuticals Ltd),12147311000001101,amp,0601021A0AAAAAA
13720511000001107,Glimepiride 2mg tablets (Ranbaxy (UK) Ltd),13720511000001107,amp,0601021A0AAAAAA
14122311000001108,Glimepiride 2mg tablets (Consilient Health Ltd),14122311000001108,amp,0601021A0AAAAAA
15091211000001102,Glimepiride 2mg tablets (Sigma Pharmaceuticals Plc),15091211000001102,amp,0601021A0AAAAAA
16053711000001101,Glimepiride 2mg tablets (Bristol Laboratories Ltd),16053711000001101,amp,0601021A0AAAAAA
17916711000001106,Glimepiride 2mg tablets (Phoenix Healthcare Distribution Ltd),17916711000001106,amp,0601021A0AAAAAA
20166811000001106,Glimepiride 2mg tablets (Accord Healthcare Ltd),20166811000001106,amp,0601021A0AAAAAA
22027411000001104,Glimepiride 2mg tablets (Waymade Healthcare Plc),22027411000001104,amp,0601021A0AAAAAA
24106511000001109,Glimepiride 2mg tablets (DE Pharmaceuticals),24106511000001109,amp,0601021A0AAAAAA
30137811000001100,Glimepiride 2mg tablets (Mawdsley-Brooks & Company Ltd),30137811000001100,amp,0601021A0AAAAAA
32493611000001106,Glimepiride 2mg tablets (Brown & Burk UK Ltd),32493611000001106,amp,0601021A0AAAAAA
